country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Switzerland,2017,4,7.494,1.56498,1.51691,0.85813,0.62007,0.36701,0.29055
Finland,2017,5,7.469,1.44357,1.54025,0.80916,0.61795,0.38261,0.24548
Netherlands,2017,6,7.377,1.50394,1.42894,0.81070,0.58538,0.28266,0.47049
Canada,2017,7,7.316,1.47920,1.48135,0.83456,0.61110,0.28737,0.43554
New Zealand,2017,8,7.314,1.40571,1.54820,0.81676,0.61406,0.38282,0.50001
Sweden,2017,9,7.284,1.49439,1.47816,0.83088,0.61292,0.38440,0.38540
Australia,2017,10,7.284,1.48441,1.51004,0.84389,0.60161,0.30118,0.47770
Israel,2017,11,7.213,1.37538,1.37629,0.83840,0.40599,0.08524,0.33008
Costa Rica,2017,12,7.079,1.10971,1.41640,0.75951,0.58013,0.10011,0.21461
Austria,2017,13,7.006,1.48710,1.45994,0.81533,0.56777,0.22106,0.31647
United States,2017,14,6.993,1.54626,1.41992,0.77429,0.50574,0.13564,0.39258
Ireland,2017,15,6.977,1.53571,1.55823,0.80978,0.57311,0.29839,0.42786
Belgium,2017,17,6.891,1.46378,1.46231,0.81809,0.53977,0.25134,0.23150
Luxembourg,2017,18,6.863,1.74194,1.45758,0.84509,0.59663,0.31883,0.28318
United Kingdom,2017,19,6.714,1.44163,1.49646,0.80534,0.50819,0.26543,0.49277
Chile,2017,20,6.652,1.25278,1.28402,0.81948,0.37690,0.08229,0.32666
Brazil,2017,22,6.635,1.10735,1.43131,0.61655,0.43745,0.11109,0.16235
Czech Republic,2017,23,6.609,1.35268,1.43389,0.75444,0.49095,0.03687,0.08811
Argentina,2017,24,6.599,1.18530,1.44045,0.69514,0.49452,0.05974,0.10946
Mexico,2017,25,6.578,1.15318,1.21086,0.70998,0.41273,0.13277,0.12099
Singapore,2017,26,6.572,1.69228,1.35381,0.94949,0.54984,0.46431,0.34597
Malta,2017,27,6.527,1.34328,1.48841,0.82194,0.58877,0.15307,0.57473
Uruguay,2017,28,6.454,1.21756,1.41223,0.71922,0.57939,0.17806,0.17510
Guatemala,2017,29,6.454,0.87200,1.25559,0.54024,0.53131,0.07722,0.28349
Panama,2017,30,6.452,1.23375,1.37319,0.70616,0.55003,0.07098,0.21056
France,2017,31,6.442,1.43092,1.38778,0.84447,0.47022,0.17250,0.12976
Thailand,2017,32,6.424,1.12787,1.42579,0.64724,0.58020,0.03161,0.57212
Taiwan Province of China,2017,33,6.422,1.43363,1.38457,0.79398,0.36147,0.06383,0.25836
Spain,2017,34,6.403,1.38440,1.53209,0.88896,0.40878,0.07091,0.19013
Qatar,2017,35,6.375,1.87077,1.27430,0.71010,0.60413,0.43930,0.33047
Colombia,2017,36,6.357,1.07062,1.40218,0.59503,0.47749,0.04667,0.14901
Saudi Arabia,2017,37,6.344,1.53062,1.28668,0.59015,0.44975,0.27343,0.14762
Trinidad and Tobago,2017,38,6.168,1.36136,1.38023,0.51998,0.51863,0.00896,0.32530
Kuwait,2017,39,6.105,1.63295,1.25970,0.63211,0.49634,0.21516,0.22829
Slovakia,2017,40,6.098,1.32539,1.50506,0.71273,0.29582,0.02421,0.13654
Bahrain,2017,41,6.087,1.48841,1.32311,0.65313,0.53675,0.25704,0.17267
Malaysia,2017,42,6.084,1.29122,1.28465,0.61878,0.40226,0.06560,0.41661
Nicaragua,2017,43,6.071,0.73730,1.28722,0.65310,0.44755,0.13069,0.30167
Ecuador,2017,44,6.008,1.00082,1.28617,0.68564,0.45520,0.14013,0.15011
El Salvador,2017,45,6.003,0.90978,1.18213,0.59602,0.43245,0.08998,0.07826
Poland,2017,46,5.973,1.29179,1.44571,0.69948,0.52034,0.05931,0.15847
Uzbekistan,2017,47,5.971,0.78644,1.54897,0.49827,0.65825,0.24653,0.41598
Italy,2017,48,5.964,1.39507,1.44492,0.85314,0.25645,0.02803,0.17279
Russia,2017,49,5.963,1.28178,1.46928,0.54735,0.37378,0.03296,0.05226
Belize,2017,50,5.956,0.90798,1.08142,0.45019,0.54751,0.09658,0.24002
Japan,2017,51,5.920,1.41692,1.43634,0.91348,0.50563,0.16376,0.12057
Lithuania,2017,52,5.902,1.31458,1.47352,0.62895,0.23423,0.01187,0.01016
Algeria,2017,53,5.872,1.09186,1.14622,0.61758,0.23334,0.14610,0.06944
Latvia,2017,54,5.850,1.26075,1.40471,0.63857,0.32571,0.07384,0.15307
South Korea,2017,55,5.838,1.40168,1.12827,0.90021,0.25792,0.06328,0.20667
Moldova,2017,56,5.838,0.72887,1.25183,0.58947,0.24073,0.01009,0.20878
Romania,2017,57,5.825,1.21768,1.15009,0.68516,0.45700,0.00439,0.13352
