gdp,family,lifeexpectancy,freedom,generosity,trust,alcohol_liperyear
1.092,1.513,0.815,0.311,0.081,0.004,19.2
0.611,0.868,0.486,0.381,0.245,0.04,10.2
0.446,1.226,0.677,0.439,0.285,0.089,7.4
1.286,1.484,1.062,0.362,0.153,0.079,14.6
1.149,1.442,0.91,0.516,0.109,0.054,16.5
0.268,0.841,0.242,0.309,0.252,0.045,18.3
0.949,1.265,0.831,0.47,0.244,0.047,14.9
0.35,0.766,0.192,0.174,0.198,0.078,6.9
0.82,1.39,0.739,0.178,0.187,0.01,13.8
0.336,1.033,0.532,0.344,0.209,0.1,12.6
0.811,1.149,0.0,0.313,0.074,0.135,34.4
0.332,1.069,0.443,0.356,0.252,0.06,26.0
0.913,1.039,0.644,0.241,0.076,0.067,14.3
0.578,1.058,0.426,0.431,0.247,0.087,17.7
0.275,0.572,0.41,0.293,0.177,0.085,12.0
0.755,0.765,0.588,0.498,0.2,0.085,14.6
0.073,0.922,0.443,0.37,0.233,0.033,18.7
0.274,0.757,0.505,0.142,0.275,0.078,22.3
0.274,0.916,0.555,0.148,0.169,0.041,9.2
0.489,1.169,0.168,0.359,0.107,0.093,28.2
0.046,0.447,0.38,0.22,0.176,0.18,23.7
0.366,1.114,0.433,0.361,0.151,0.089,27.2
0.323,0.688,0.449,0.026,0.419,0.11,16.5
1.041,1.145,0.538,0.455,0.025,0.1,26.2
0.619,0.378,0.44,0.013,0.331,0.141,15.5
0.191,0.56,0.495,0.443,0.218,0.089,15.5
0.287,1.163,0.463,0.143,0.108,0.077,9.4
0.359,0.711,0.614,0.555,0.217,0.411,25.6
0.476,0.885,0.499,0.417,0.276,0.147,25.8
0.35,0.517,0.361,0.0,0.158,0.025,33.5
0.026,0.0,0.105,0.225,0.235,0.035,8.8
0.673,0.799,0.508,0.372,0.105,0.093,15.1
0.094,1.125,0.357,0.269,0.212,0.053,7.1
0.569,0.808,0.232,0.352,0.154,0.09,21.7
0.71,1.181,0.555,0.525,0.566,0.172,17.6
1.231,1.477,0.713,0.489,0.185,0.016,14.2
