country,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,generosity,trust,lat,lng,alcohol_per_year
Kyrgyzstan,86,5.261,0.55100,1.43800,0.72300,0.50800,0.30000,0.02300,41.204380,74.766098,24.0
Turkmenistan,87,5.247,1.05200,1.53800,0.65700,0.39400,0.24400,0.02800,38.969719,59.556278,17.8
Algeria,88,5.211,1.00200,1.16000,0.78500,0.08600,0.07300,0.11400,28.033886,1.659626,29.1
Morocco,89,5.208,0.80100,0.78200,0.78200,0.41800,0.03600,0.07600,31.791702,-7.092620,24.5
Azerbaijan,90,5.208,1.04300,1.14700,0.76900,0.35100,0.03500,0.18200,40.143105,47.576927,3.7
Lebanon,91,5.197,0.98700,1.22400,0.81500,0.21600,0.16600,0.02700,33.854721,35.862285,25.0
Indonesia,92,5.192,0.93100,1.20300,0.66000,0.49100,0.49800,0.02800,-0.789275,113.921327,3.4
China,93,5.191,1.02900,1.12500,0.89300,0.52100,0.05800,0.10000,35.861660,104.195397,12.9
Vietnam,94,5.175,0.74100,1.34600,0.85100,0.54300,0.14700,0.07300,14.058324,108.277199,22.8
Bhutan,95,5.082,0.81300,1.32100,0.60400,0.45700,0.37000,0.16700,27.514162,90.433601,1.9
Jordan,101,4.906,0.83700,1.22500,0.81500,0.38300,0.11000,0.13000,30.585164,36.238414,24.6
Benin,102,4.883,0.39300,0.43700,0.39700,0.34900,0.17500,0.08200,9.307690,2.315834,11.6
Gabon,104,4.799,1.05700,1.18300,0.57100,0.29500,0.04300,0.05500,-0.803689,11.609444,17.2
Laos,105,4.796,0.76400,1.03000,0.55100,0.54700,0.26600,0.16400,19.856270,102.495496,25.9
South Africa,106,4.722,0.96000,1.35100,0.46900,0.38900,0.13000,0.05500,-30.559482,22.937506,29.9
Albania,107,4.719,0.94700,0.84800,0.87400,0.38300,0.17800,0.02700,41.153332,20.168331,14.6
Venezuela,108,4.707,0.96000,1.42700,0.80500,0.15400,0.06400,0.04700,6.423750,-66.589730,14.9
Cambodia,109,4.700,0.57400,1.12200,0.63700,0.60900,0.23200,0.06200,12.565679,104.990963,21.7
Palestinian Territories,110,4.696,0.65700,1.24700,0.67200,0.22500,0.10300,0.06600,31.952162,35.233154,
Senegal,111,4.681,0.45000,1.13400,0.57100,0.29200,0.15300,0.07200,14.497401,-14.452362,3.5
Iceland,4,7.494,1.38000,1.62400,1.02600,0.59100,0.35400,0.11800,64.963051,-19.020835,12.8
Netherlands,5,7.488,1.39600,1.52200,0.99900,0.55700,0.32200,0.29800,52.132633,5.291266,12.0
Switzerland,6,7.480,1.45200,1.52600,1.05200,0.57200,0.26300,0.34300,46.818188,8.227512,14.2
Sweden,7,7.343,1.38700,1.48700,1.00900,0.57400,0.26700,0.37300,60.128161,18.643501,12.5
New Zealand,8,7.307,1.30300,1.55700,1.02600,0.58500,0.33000,0.38000,-40.900557,174.885971,14.3
Canada,9,7.278,1.36500,1.50500,1.03900,0.58400,0.28500,0.30800,56.130366,-106.346771,13.8
Austria,10,7.246,1.37600,1.47500,1.01600,0.53200,0.24400,0.22600,47.516231,14.550072,14.9
Australia,11,7.228,1.37200,1.54800,1.03600,0.55700,0.33200,0.29000,-25.274398,133.775136,13.4
Costa Rica,12,7.167,1.03400,1.44100,0.96300,0.55800,0.14400,0.09300,9.748917,-83.753428,13.0
Israel,13,7.139,1.27600,1.45500,1.02900,0.37100,0.26100,0.08200,31.046051,34.851612,7.0
Luxembourg,14,7.090,1.60900,1.47900,1.01200,0.52600,0.19400,0.31600,49.815273,6.129583,14.1
United Kingdom,15,7.054,1.33300,1.53800,0.99600,0.45000,0.34800,0.27800,55.378051,-3.435973,15.6
Ireland,16,7.021,1.49900,1.55300,0.99900,0.51600,0.29800,0.31000,53.412910,-8.243890,16.0
Germany,17,6.985,1.37300,1.45400,0.98700,0.49500,0.26100,0.26500,51.165691,10.451526,16.9
Belgium,18,6.923,1.35600,1.50400,0.98600,0.47300,0.16000,0.21000,50.503887,4.469936,15.9
United States,19,6.892,1.43300,1.45700,0.87400,0.45400,0.28000,0.12800,37.090240,-95.712891,13.7
Czech Republic,20,6.852,1.26900,1.48700,0.92000,0.45700,0.04600,0.03600,49.817492,15.472962,19.1
United Arab Emirates,21,6.825,1.50300,1.31000,0.82500,0.59800,0.26200,0.18200,23.424076,53.847818,20.5
Malta,22,6.726,1.30000,1.52000,0.99900,0.56400,0.37500,0.15100,35.937496,14.375416,12.8
Mexico,23,6.595,1.07000,1.32300,0.86100,0.43300,0.07400,0.07300,23.634501,-102.552784,15.3
France,24,6.592,1.32400,1.47200,1.04500,0.43600,0.11100,0.18300,46.227638,2.213749,16.7
Taiwan,25,6.446,1.36800,1.43000,0.91400,0.35100,0.24200,0.09700,23.697810,120.960515,
Chile,26,6.444,1.15900,1.36900,0.92000,0.35700,0.18700,0.05600,-35.675147,-71.542969,13.7
Guatemala,27,6.436,0.80000,1.26900,0.74600,0.53500,0.17500,0.07800,15.783471,-90.230759,9.0
Saudi Arabia,28,6.375,1.40300,1.35700,0.79500,0.43900,0.08000,0.13200,23.885942,45.079162,3.8
Qatar,29,6.374,1.68400,1.31300,0.87100,0.55500,0.22000,0.16700,25.354826,51.183884,4.4
