country,happinessscore,gdp,family,lifeexpectancy,freedom,generosity,trust,alcohol_liperyear
Armenia,4.559,0.85000,1.05500,0.81500,0.28300,0.09500,0.06400,21.3
Iran,4.548,1.10000,0.84200,0.78500,0.30500,0.27000,0.12500,28.4
Guinea,4.534,0.38000,0.82900,0.37500,0.33200,0.20700,0.08600,5.8
Georgia,4.519,0.88600,0.66600,0.75200,0.34600,0.04300,0.16400,27.9
Gambia,4.516,0.30800,0.93900,0.42800,0.38200,0.26900,0.16700,14.1
Kenya,4.509,0.51200,0.98300,0.58100,0.43100,0.37200,0.05300,14.1
Mauritania,4.490,0.57000,1.16700,0.48900,0.06600,0.10600,0.08800,3.8
Mozambique,4.466,0.20400,0.98600,0.39000,0.49400,0.19700,0.13800,11.4
Tunisia,4.461,0.92100,1.00000,0.81500,0.16700,0.05900,0.05500,36.6
Bangladesh,4.456,0.56200,0.92800,0.72300,0.52700,0.16600,0.14300,0.9
Iraq,4.437,1.04300,0.98000,0.57400,0.24100,0.14800,0.08900,12.4
Mali,4.390,0.38500,1.10500,0.30800,0.32700,0.15300,0.05200,5.7
Finland,7.769,1.34000,1.58700,0.98600,0.59600,0.15300,0.39300,14.8
Denmark,7.600,1.38300,1.57300,0.99600,0.59200,0.25200,0.41000,13.9
Norway,7.554,1.48800,1.58200,1.02800,0.60300,0.27100,0.34100,9.4
Iceland,7.494,1.38000,1.62400,1.02600,0.59100,0.35400,0.11800,12.8
Netherlands,7.488,1.39600,1.52200,0.99900,0.55700,0.32200,0.29800,12.0
Switzerland,7.480,1.45200,1.52600,1.05200,0.57200,0.26300,0.34300,14.2
Sweden,7.343,1.38700,1.48700,1.00900,0.57400,0.26700,0.37300,12.5
New Zealand,7.307,1.30300,1.55700,1.02600,0.58500,0.33000,0.38000,14.3
Canada,7.278,1.36500,1.50500,1.03900,0.58400,0.28500,0.30800,13.8
Austria,7.246,1.37600,1.47500,1.01600,0.53200,0.24400,0.22600,14.9
Australia,7.228,1.37200,1.54800,1.03600,0.55700,0.33200,0.29000,13.4
Costa Rica,7.167,1.03400,1.44100,0.96300,0.55800,0.14400,0.09300,13.0
Israel,7.139,1.27600,1.45500,1.02900,0.37100,0.26100,0.08200,7.0
Luxembourg,7.090,1.60900,1.47900,1.01200,0.52600,0.19400,0.31600,14.1
United Kingdom,7.054,1.33300,1.53800,0.99600,0.45000,0.34800,0.27800,15.6
Ireland,7.021,1.49900,1.55300,0.99900,0.51600,0.29800,0.31000,16.0
Germany,6.985,1.37300,1.45400,0.98700,0.49500,0.26100,0.26500,16.9
Belgium,6.923,1.35600,1.50400,0.98600,0.47300,0.16000,0.21000,15.9
United States,6.892,1.43300,1.45700,0.87400,0.45400,0.28000,0.12800,13.7
Czech Republic,6.852,1.26900,1.48700,0.92000,0.45700,0.04600,0.03600,19.1
United Arab Emirates,6.825,1.50300,1.31000,0.82500,0.59800,0.26200,0.18200,20.5
Malta,6.726,1.30000,1.52000,0.99900,0.56400,0.37500,0.15100,12.8
Mexico,6.595,1.07000,1.32300,0.86100,0.43300,0.07400,0.07300,15.3
France,6.592,1.32400,1.47200,1.04500,0.43600,0.11100,0.18300,16.7
Chile,6.444,1.15900,1.36900,0.92000,0.35700,0.18700,0.05600,13.7
Guatemala,6.436,0.80000,1.26900,0.74600,0.53500,0.17500,0.07800,9.0
Saudi Arabia,6.375,1.40300,1.35700,0.79500,0.43900,0.08000,0.13200,3.8
Qatar,6.374,1.68400,1.31300,0.87100,0.55500,0.22000,0.16700,4.4
Cameroon,5.044,0.54900,0.91000,0.33100,0.38100,0.18700,0.03700,22.6
Bulgaria,5.011,1.09200,1.51300,0.81500,0.31100,0.08100,0.00400,19.2
Ghana,4.996,0.61100,0.86800,0.48600,0.38100,0.24500,0.04000,10.2
Nepal,4.913,0.44600,1.22600,0.67700,0.43900,0.28500,0.08900,7.4
Spain,6.354,1.28600,1.48400,1.06200,0.36200,0.15300,0.07900,14.6
